"country","region","total_profit_2050_BAU","total_profit_2050_OPT","total_profit_2050_CS","delta_p_OPT_BAU","delta_p_CS_BAU","t_reform_harvest_OPT","t_reform_harvest_CS","max_cmt_OPT","max_cmt_CS"
"Albania","Europe",-491252.018661621,2147900.59434621,3231499.76073149,2639152.61300783,3722751.77939311,1549.61273836316,1626.18570797569,1703.1046194132,1622.90973291919
"Algeria","Africa",-3254603.18868133,27734809.6679712,41230917.3786481,30989412.8566526,44485520.5673294,46105.1306695059,62827.2996270237,672.146730887569,493.24756977655
"American Samoa","Oceania",-109428.289760184,352425.258283715,536551.032362822,461853.548043899,645979.322123006,317.185695244914,317.185695244914,1456.09828869262,1456.09828869262
"Angola","Africa",-18469263.452781,256952658.391062,374658148.79624,275421921.843843,393127412.249021,65100.5366154703,617640.128754314,4230.71661406847,445.926210136843
"Anguilla","Caribbean",-347657.105566732,1062729.23385894,1545955.72944339,1410386.33942567,1893612.83501012,81.0380364436498,81.0380364436498,17404.0043579584,17404.0043579584
"Antigua and Barbuda","Caribbean",-702523.034712577,2237594.32402564,3239136.73600667,2940117.35873822,3941659.77071925,550.483695859457,550.483695859457,5340.97082411838,5340.97082411838
"Argentina","Latin America",750864069.150866,1360414103.34036,1686721057.25331,609550034.189495,935856988.10244,239354.177038543,735163.993473585,2546.64464907725,829.134777547286
"Aruba","Caribbean",-39468.8929353552,119495.089224421,180712.991925605,158963.982159776,220181.88486096,57.2381013042451,57.2381013042451,2777.24065853992,2777.24065853992
"Australia","Australia",98171737.3486655,357734236.548953,461701379.443283,259562499.200288,363529642.094618,56790.7452495827,64973.0908793284,4570.50700883688,3994.92306257003
"Bahamas","Caribbean",-31193965.6192851,63525070.329296,92459885.5725966,94719035.9485811,123653851.191882,5132.48042701597,5132.48042701597,18454.8265298794,18454.8265298794
"Bahrain","Asia",-3297239.73875547,12220244.4118032,18513253.8675812,15517484.1505587,21810493.6063367,5756.05051048878,5756.05051048878,2695.85614689837,2695.85614689837
"Bangladesh","Asia",2651742.96021809,181654174.39667,276173350.866087,179002431.436452,273521607.905869,321677.847227568,321677.847227568,556.464901077936,556.464901077936
"Barbados","Caribbean",-82333.7633233237,530152.284008501,757111.244400653,612486.047331825,839445.007723977,429.498704809777,429.498704809777,1426.04864804678,1426.04864804678
"Belgium","Europe",11526567.5530306,35282141.1520894,45234206.6059816,23755573.5990588,33707639.0529509,9358.16901169474,13560.3817040792,2538.4852068147,1751.83664571276
"Belize","Caribbean",18746833.4548262,92718842.8080774,135738934.901359,73972009.3532512,116992101.446533,164358.973403021,255003.989650376,450.063710071163,290.081772660383
"Benin","Africa",-417553.283354682,7138417.72197813,10832550.7678895,7555971.00533281,11250104.0512442,6819.02949115317,7463.31387077939,1108.07131940634,1012.41501244055
"Bermuda","Caribbean",-148465.576866581,772722.546045849,1228468.51635328,921188.12291243,1376934.09321986,204.610965893682,204.610965893682,4502.14444220496,4502.14444220496
"Brazil","Latin America",-103634170.048356,319152572.830232,477748246.275534,422786742.878588,581382416.32389,249330.184306468,249330.184306468,1695.69017106614,1695.69017106614
"British Indian Ocean Ter","Caribbean",61.4272680279798,1187.21543428822,1806.5228892266,1125.78816626024,1745.09562119862,0.740858100742825,0.740858100742825,1519.57326933655,1519.57326933655
"British Virgin Islands","Caribbean",-293129.249507901,1311024.81152974,1962714.92856476,1604154.06103764,2255844.17807266,423.163644084939,423.163644084939,3790.85983274038,3790.85983274038
"Bulgaria","Europe",94450.6199759209,1260827.06132015,1856764.58638854,1166376.44134423,1762313.96641262,709.495832894598,4273.34451942483,1643.951080848,272.942290527331
"Cabo Verde","Africa",-933398.676172303,3193987.23842843,4942418.68087775,4127385.91460073,5875817.35705005,1972.88080687143,1972.88080687143,2092.06045303157,2092.06045303157
"Cambodia","Asia",-15103696.2955701,35479737.3591163,50555463.9687978,50583433.6546864,65659160.2643679,18003.8960374563,18003.8960374563,2809.58263419483,2809.58263419483
"Cameroon","Africa",-9718869.72612532,33511884.3218186,50629393.4092926,43230754.047944,60348263.1354179,35428.7428814067,36528.5454659544,1220.2169914031,1183.47866022304
"Canada","North America",1199516427.44277,1518457298.30518,1693901044.55779,318940870.862414,494384617.11502,335876.471907222,426677.185601859,949.577888118683,747.499237421201
"Channel Islands","Europe",-1380735.53239596,3934313.56453515,5918333.06536447,5315049.09693111,7299068.59776043,1977.25624684185,2148.5346566675,2688.09321271358,2473.8018911806
"Chile","Latin America",1236144593.05652,1397735290.64432,1619958924.35495,161590697.587798,383814331.298426,128529.07631866,622754.053990906,1257.23067663825,259.477552257183
"China","Asia",-2685852342.629,11661548515.2951,17167869211.4306,14347400857.9241,19853721554.0596,10719410.2053842,10728525.482125,1338.45058478289,1337.31339705802
"China Hong Kong SAR","Asia",-41402209.0335768,134122430.226005,190689937.281472,175524639.259582,232092146.315049,103541.019517959,103541.019517959,1695.21837892602,1695.21837892602
"China Macao SAR","Asia",-153048.256103278,430360.876703232,608700.959735224,583409.13280651,761749.215838502,160.270024235486,160.270024235486,3640.16375232653,3640.16375232653
"Colombia","Latin America",-323048.867261569,22663067.2532018,34207722.2223725,22986116.1204634,34530771.0896341,27860.5056836194,27860.5056836194,825.043033371001,825.043033371001
"Comoros","Africa",1792373.05697435,5795441.78573919,8537406.19124407,4003068.72876484,6745033.13426972,2952.57889196802,11732.9440059271,1355.78722033626,341.181951157579
"Congo","Africa",-2127708.82671947,13763575.5833446,20313717.5528253,15891284.410064,22441426.3795448,10488.1553227714,14643.5715152895,1515.16486179048,1085.20550423589
"Cook Islands","Oceania",-115229.616928666,260027.622201623,388765.038361523,375257.239130289,503994.655290189,239.276156055652,239.276156055652,1568.30185387553,1568.30185387553
"Costa Rica","Latin America",-1434036.01944067,9113574.62113,13230223.5755411,10547610.6405707,14664259.5949818,5159.68221732578,5159.68221732578,2044.2364851759,2044.2364851759
"Croatia","Europe",2932480.10081911,9015311.92666787,13672287.4497246,6082831.82584876,10739807.3489055,2104.85654348933,18779.5695435234,2889.90327852222,323.906882516728
"Cuba","Caribbean",-7132159.03753629,86134104.735634,126485254.417551,93266263.7731703,133617413.455087,13309.468211642,13309.468211642,7007.51241823387,7007.51241823387
"Cyprus","Europe",-478454.880861084,1198208.654263,1796535.89863234,1676663.53512408,2274990.77949343,798.991610754771,801.289835678519,2098.47451782405,2092.45576378029
"Democratic People's Republic of Korea","Asia",-808674.297968649,18771095.1387525,45228006.8360094,19579769.4367211,46036681.133978,80085.031626522,80085.031626522,244.487253598547,244.487253598547
"Democratic Republic of the Congo","Africa",-334810.457079442,1414470.92841475,2105005.56109203,1749281.38549419,2439816.01817148,1583.03405616894,2211.49267591047,1105.01816349269,790.995785131421
"Denmark","Europe",287611415.010019,351070072.968611,426146724.786529,63458657.9585924,138535309.77651,56061.6966124704,894735.981483797,1131.9432302817,70.924450644485
"Djibouti","Africa",-325296.987055846,717901.766484469,1062326.19090588,1043198.75354031,1387623.17796173,745.634991769759,745.634991769759,1399.07429916116,1399.07429916116
"Dominica","Caribbean",-37718.5627350053,197216.53060855,288078.401459175,234935.093343555,325796.96419418,148.660619280797,148.660619280797,1580.34518139467,1580.34518139467
"Dominican Republic","Caribbean",-6035439.23292839,14840703.5043936,21927040.749647,20876142.737322,27962479.9825754,4679.07154487964,4679.07154487964,4461.59938720471,4461.59938720471
"Ecuador","Latin America",-20352566.9391857,135044947.55506,200098251.419762,155397514.494246,220450818.358948,221170.232175416,221170.232175416,702.614962989215,702.614962989215
"Egypt","Africa",-26126013.4173919,87653089.3884232,128123144.809154,113779102.805815,154249158.226546,75822.2811154819,76381.0897997976,1500.60247636869,1489.62397766308
"El Salvador","Latin America",43496.9867278402,7355168.07294092,11167920.6284951,7311671.08621308,11124423.6417673,12049.3552285278,12049.3552285278,606.810152704447,606.810152704447
"Equatorial Guinea","Africa",-181296.5208925,435755.600974496,573518.868149431,617052.121866995,754815.38904193,255.224040475503,280.17074787309,2417.68808579857,2202.41451526019
"Eritrea","Africa",-1937596.94492083,8127514.31447839,11653629.8160361,10065111.2593992,13591226.7609569,6509.25763180254,6509.25763180254,1546.2763695546,1546.2763695546
"Estonia","Europe",5776967.24761877,15837585.3909706,21107134.6257251,10060618.1433518,15330167.3781063,6610.57780635174,17734.1447630063,1521.89694124546,567.302132569619
"Falkland Is.","Europe",-16991010.9167293,97711916.1912479,148838637.11156,114702927.107977,165829648.028289,92422.8093033505,92422.8093033505,1241.06730765453,1241.06730765453
"Faroe Islands","Europe",277813871.089182,318832003.904243,339135307.568142,41018132.8150603,61321436.47896,29840.1926059909,41898.3593791711,1374.59343365047,978.991383501559
"Fiji","Oceania",-5119899.74531406,11224545.1780544,17222504.4001985,16344444.9233685,22342404.1455126,9227.03723661262,9227.03723661262,1771.36436152161,1771.36436152161
"Finland","Europe",6365191.83601244,14969788.9343195,18492515.0236283,8604597.09830709,12127323.1876159,5649.6615321715,9838.76610692963,1523.02877779651,874.560590707275
"France","Europe",66804074.1332457,380932310.422743,526686010.575733,314128236.289497,459881936.442487,139640.183631481,261916.296311659,2249.55473503602,1199.34590062968
"French Guiana","Latin America",-882190.94476319,2371111.96597298,3391501.25893998,3253302.91073617,4273692.20370317,2248.44599743012,2248.44599743012,1446.91174013277,1446.91174013277
"French Polynesia","Oceania",-636216.799807964,2155610.62550041,3173917.78810412,2791827.42530837,3810134.58791208,2022.16804132359,2022.16804132359,1380.61099189413,1380.61099189413
"French Southern Terr","Europe",-1210267.84524788,5181063.43706241,7541029.95357115,6391331.28231029,8751297.79881903,296.386404437389,296.386404437389,21564.1850861632,21564.1850861632
"Gabon","Africa",390976.146092378,9937705.94564158,14935852.0259479,9546729.7995492,14544875.8798555,9749.48778540828,9751.68739057738,979.203216587179,978.982346047494
"Gambia","Africa",-2252899.64730468,13002032.3683997,19653386.9931808,15254932.0157044,21906286.6404854,13335.3785308998,16613.1272725613,1143.94443175023,918.245659918582
"Georgia","Asia",2822383.75639732,6469031.39468283,9732671.61934533,3646647.63828551,6910287.86294801,4076.0826728861,13369.7447330611,894.645160791961,272.753722011458
"Germany","Europe",128733755.605623,191614851.979771,224088698.884973,62881096.3741485,95354943.2793505,48803.2514323177,95225.3001714751,1288.46120962564,660.340227449182
"Ghana","Africa",8859481.0280989,103875474.129179,155107208.757086,95015993.10108,146247727.728987,65485.548433735,106604.210378794,1450.9459777561,891.29681429525
"Greece","Europe",-18959895.5229794,62341670.6075978,93971894.3779462,81301566.1305772,112931789.900926,42551.3054648549,48209.3693929549,1910.67148803996,1686.42666673126
"Greenland","Europe",33258087.6280363,222742291.725487,306960442.353804,189484204.097451,273702354.725768,74077.3848181693,107283.096832478,2557.92242885679,1766.20744266293
"Grenada","Caribbean",-426802.994155083,1451509.93922524,2138671.53302703,1878312.93338032,2565474.52718211,1004.75581775005,1004.75581775005,1869.42230161596,1869.42230161596
"Guadeloupe","Caribbean",286474.376351937,2441446.50349289,3367638.63948308,2154972.12714095,3081164.26313114,1962.46867736639,1962.46867736639,1098.09249543432,1098.09249543432
"Guam","Oceania",-36538.9635082482,113812.801544292,166780.284947388,150351.76505254,203319.248455636,67.5155028616444,67.5155028616444,2226.92209462836,2226.92209462836
"Guatemala","Latin America",-735748.954117332,2341665.63716065,3507305.63917186,3077414.59127798,4243054.59328919,3678.01922560103,3678.01922560103,836.704324397624,836.704324397624
"Guinea","Africa",-7614884.29054786,35629272.2393478,53226692.4044666,43244156.5298957,60841576.6950145,44902.0461142118,47463.7481913816,963.07763837534,911.098642179041
"Guinea-Bissau","Africa",60003.8913135885,2820423.26118884,4127102.48406927,2760419.36987525,4067098.59275568,1900.82252222714,1924.38972046745,1452.2236229824,1434.43884599671
"Guyana","Latin America",-9334327.48044209,23216383.4037652,34368650.5499481,32550710.8842073,43702978.0303902,10562.379018561,10562.379018561,3081.75940543383,3081.75940543383
"Haiti","Caribbean",-578435.008758908,4904596.73479169,7118948.88935363,5483031.7435506,7697383.89811254,578.012441391298,578.012441391298,9486.00990378811,9486.00990378811
"Honduras","Latin America",-3961208.50334317,25619858.3627599,37234699.4758859,29581066.8661031,41195907.9792291,3900.79688442794,3900.79688442794,7583.33944127962,7583.33944127962
"Iceland","Europe",1236245642.84841,1284458367.72102,1308885207.82558,48212724.8726137,72639564.9771724,34801.9081607948,53711.7652862023,1385.34716688111,897.619443630514
"India","Asia",-610864681.602843,2170613196.4456,3158885141.65677,2781477878.04844,3769749823.25961,2020242.01817446,2020242.01817446,1376.80429029085,1376.80429029085
"Indonesia","Asia",-953455806.461686,3766383130.68975,5474724224.86813,4719838937.15144,6428180031.32982,3327231.97258303,3327231.97258303,1418.5482034447,1418.5482034447
"Iran","Asia",-21147739.6411137,347118685.395067,523495296.324133,368266425.036181,544643035.965247,275293.034410151,275293.034410151,1337.72518373099,1337.72518373099
"Iraq","Asia",-412499.708464016,3575483.27226816,5298763.25351547,3987982.98073218,5711262.96197949,4486.29752858079,4486.29752858079,888.925211786778,888.925211786778
"Ireland","Europe",16371968.2934151,243660272.517662,339597406.558759,227288304.224247,323225438.265344,169499.559539601,197981.144542281,1340.93743276746,1148.03005483033
"Isle of Man","Europe",-1602901.64200076,3842194.46749179,5737278.50545462,5445096.10949255,7340180.14745538,2833.27450973756,2837.35949260654,1921.83852668654,1919.07163109966
"Israel","Asia",-238415.106003293,1080160.37550039,1626207.61075438,1318575.48150368,1864622.71675767,970.34988095546,972.455150392792,1358.86602078555,1355.9242099454
"Italy","Europe",-1303364.24080077,140858064.888247,198357148.791575,142161429.129048,199660513.032376,76159.4565794812,91785.0095491121,1866.62872233976,1548.85236518911
"Ivory Coast","Africa",-1035908.29129119,14702574.3013656,22328132.2960682,15738482.5926567,23364040.5873594,16388.8224787447,17000.2667670937,960.318083441845,925.778566199953
"Jamaica","Caribbean",-686710.623080448,2103575.27857298,3061582.60841897,2790285.90165343,3748293.23149942,160.574954585136,160.574954585136,17376.8437852743,17376.8437852743
"Japan","Asia",1608484494.84188,3383466227.86418,4072981834.65845,1774981733.02231,2464497339.81657,989521.273948375,1552312.9930054,1793.77824383684,1143.4431980021
"Jordan","Asia",-5644.86038037341,130421.161216537,195756.111552098,136066.02159691,201400.971932471,98.0464151137603,98.0464151137603,1387.77151045285,1387.77151045285
"Kenya","Africa",-1960426.3105811,4565523.74027257,6531501.09555393,6525950.05085367,8491927.40613503,2207.93419203914,2207.93419203914,2955.68141223748,2955.68141223748
"Kiribati","Oceania",-402714.652457505,1134026.64280085,1631018.20166134,1536741.29525836,2033732.85411884,801.794824384788,801.794824384788,1916.62660885531,1916.62660885531
"Kuwait","Asia",-1430222.49369082,5171280.24359842,7498322.3647049,6601502.73728924,8928544.85839572,3020.2309593327,3020.2309593327,2185.76089914256,2185.76089914256
"Latvia","Europe",27934438.300952,49212006.8869578,63174180.8819672,21277568.5860058,35239742.5810152,36938.4335682986,78390.2259760273,576.027907265311,271.43139748714
"Lebanon","Asia",-609172.079291428,2115940.01833242,2977186.33805528,2725112.09762385,3586358.41734671,1768.10115337341,1768.10115337341,1541.26481532153,1541.26481532153
"Liberia","Africa",-421011.276150418,3905339.34985723,5836802.14372193,4326350.62600765,6257813.41987235,2823.89559554562,5440.39702006258,1532.05048828009,795.227004583185
"Libya","Africa",-2462871.40773271,8194504.76387793,12640544.8645636,10657376.1716106,15103416.2722963,13833.915513405,13833.915513405,770.380313605623,770.380313605623
"Lithuania","Europe",27209588.7734282,74111290.3183274,100514897.969105,46901701.5448992,73305309.1956767,46082.4783031995,167370.634127068,1017.77732604374,280.226586877191
"Madagascar","Africa",-17297678.135903,47468142.790645,68307358.1437783,64765820.926548,85605036.2796813,27393.7930850827,27393.7930850827,2364.25166552843,2364.25166552843
"Malaysia","Asia",-222409448.081091,866564560.463982,1247365622.51412,1088974008.54507,1469775070.59521,737160.709248174,737160.709248174,1477.25454555997,1477.25454555997
"Maldives","Asia",-1079880.60668979,8746187.23996534,13333673.5199245,9826067.84665513,14413554.1266143,5497.47075981083,5497.47075981083,1787.37973805853,1787.37973805853
"Malta","Europe",-274008.148464723,999499.26786069,1472095.97200071,1273507.41632541,1746104.12046544,777.681296392036,781.748124325968,1637.56981456762,1629.0508115046
"Marshall Islands","Oceania",414.417286593459,6566.1869235602,9990.60221229535,6151.76963696674,9576.18492570189,6.18680764857644,6.18680764857644,994.336657352236,994.336657352236
"Martinique","Caribbean",-742431.507379044,1584322.62318326,2332955.88345312,2326754.1305623,3075387.39083216,693.025183074337,693.025183074337,3357.38756309051,3357.38756309051
"Mauritania","Africa",-41319399.8360334,158051226.919143,229603129.206844,199370626.755176,270922529.042878,93636.4492493214,202780.912577367,2129.19892150461,983.182412097638
"Mauritius","Africa",-1754098.16990751,4649571.06884613,6712420.07847256,6403669.23875364,8466518.24838007,2675.84004675754,2675.84004675754,2393.14350890043,2393.14350890043
"Mayotte","Africa",-445.113641923563,11546.990503874,17176.6042587465,11992.1041457976,17621.7179006701,10.9359037569854,10.9359037569854,1096.58098793504,1096.58098793504
"Mexico","Latin America",-175374800.757606,640808233.022341,953004043.870484,816183033.779948,1128378844.62809,732821.197666732,732821.197666732,1113.75467355289,1113.75467355289
"Micronesia","Oceania",-128839.237368349,305340.053765767,435884.671121392,434179.291134116,564723.908489741,83.5850350516201,83.5850350516201,5194.46203337688,5194.46203337688
"Montenegro","Europe",-49437.4704681727,151724.62409182,224859.741633564,201162.094559993,274297.212101736,145.556074657766,198.569428250613,1382.02472849703,1013.05672445261
"Morocco","Africa",203968370.249776,583129653.198363,868718655.588732,379161282.948587,664750285.338956,97599.6295642545,1138351.46663891,3884.86395533876,333.079276533192
"Mozambique","Africa",-9270389.65157107,23200087.1742788,33169156.730873,32470476.8258499,42439546.3824441,9620.1668845439,9620.1668845439,3375.25088863251,3375.25088863251
"Myanmar","Asia",-30942364.8208801,87007742.4639143,123063454.902991,117950107.284794,154005819.723871,32402.4179432613,32402.4179432613,3640.16375232653,3640.16375232653
"Namibia","Africa",-14730990.3322323,227490739.844636,335756094.546455,242221730.176869,350487084.878688,393600.197951909,394805.437028579,615.400427736736,613.521769102017
"Nauru","Oceania",-4021.04982884705,15005.9984054456,21700.259807098,19027.0482342926,25721.3096359451,17.9843682001757,17.9843682001757,1057.97701773626,1057.97701773626
"Netherlands","Europe",99166480.4753184,191385237.232914,236185853.117696,92218756.7575957,137019372.642378,73631.3514246105,140190.014678223,1252.4387366707,657.812590784476
"New Caledonia","Oceania",-1058647.68790705,2556423.07683418,3819712.97782757,3615070.76474123,4878360.66573462,1968.54744330097,1968.54744330097,1836.41536151106,1836.41536151106
"New Zealand","New Zealand",597231109.785922,669701034.330917,697081443.067216,72469924.5449948,99850333.2812937,126397.331202816,129485.37855603,573.350116298818,559.676508291134
"Nicaragua","Latin America",-11511566.7618679,37733795.6184125,55267244.1263365,49245362.3802804,66778810.8882044,11261.2569612946,11261.2569612946,4372.9898491384,4372.9898491384
"Nigeria","Africa",-54476534.8649266,217637395.793056,313767895.701311,272113930.657983,368244430.566238,133695.68361302,169535.002807227,2035.32323037154,1605.06046628846
"Niue","Oceania",-1207.31714433716,3219.91290006461,4736.08638104626,4427.23004440177,5943.40352538342,4.74408985088649,4.74408985088649,933.209568864824,933.209568864824
"Northern Mariana Is.","Oceania",-10644.902053689,34770.4057486094,49154.0602742012,45415.3078022984,59798.9623278902,30.9665915153185,30.9665915153185,1466.59046346229,1466.59046346229
"Norway","Europe",2032033201.76985,2144098258.05471,2233121619.6912,112065056.284863,201088417.921354,80631.9788455621,360594.884355613,1389.83388339639,310.778275418757
"Oman","Asia",-18992983.5147889,91549103.9298314,135405607.137654,110542087.44462,154398590.652443,88216.411048164,88216.411048164,1253.07849334595,1253.07849334595
"Other nei","Global",-2201382.39778704,10713715.8702589,15932651.9397801,12915098.2680459,18134034.3375672,14472.8574940447,14472.8574940447,892.366851076939,892.366851076939
"Pakistan","Asia",-58259901.7764666,230822535.87496,336561502.934717,289082437.651427,394821404.711184,210267.676478941,210267.676478941,1374.83060873781,1374.83060873781
"Palau","Oceania",-9952.79975248625,65775.8463861997,99924.9172879913,75728.6461386859,109877.717040478,42.7198238740424,42.7198238740424,1772.68160940852,1772.68160940852
"Palestine","Asia",-477998.330526485,1249046.52714335,1796343.00201927,1727044.85766983,2274341.33254575,1231.44830730872,1231.44830730872,1402.4501454261,1402.4501454261
"Panama","Latin America",-6892977.0611439,54433507.1899655,82565514.5757356,61326484.2511094,89458491.6368795,88654.5628142857,90160.4435592603,691.746508068362,680.192796642587
"Papua New Guinea","Oceania",-838246.871405364,2854705.55100089,4220354.2220803,3692952.42240625,5058601.09348566,1183.56861732083,1183.56861732083,3120.18447292541,3120.18447292541
"Peru","Latin America",4625727817.79216,5423375340.30863,5782953970.54328,797647522.516465,1157226152.75112,1010860.62098569,1010860.62098569,789.077649239793,789.077649239793
"Philippines","Asia",-407914052.588242,1415452190.54289,2038818800.55736,1823366243.13113,2446732853.1456,1586196.17029649,1586196.17029649,1149.52127440221,1149.52127440221
"Poland","Europe",60251324.5905818,85755004.1620574,97907240.8135915,25503679.5714755,37655916.2230097,26906.5214477728,56210.5529188573,947.862384254305,453.716931201359
"Portugal","Europe",27289503.7211447,172670995.957987,249285148.367688,145381492.236843,221995644.646543,72779.6796636066,196051.77858558,1997.55608857867,741.546408227974
"Puerto Rico","Caribbean",-268635.301044722,963714.872999723,1430558.10976637,1232350.17404444,1699193.41081109,325.711970741581,325.711970741581,3783.55812725774,3783.55812725774
"Qatar","Asia",-1698919.84959818,4950714.04094463,7539365.74985515,6649633.89054281,9238285.59945333,5258.07989658752,5258.07989658752,1264.65059894932,1264.65059894932
"Republic of Korea","Asia",-312560980.355802,1465381039.42682,2160185387.68158,1777942019.78262,2472746368.03738,1425640.02850148,1427813.00609457,1247.11847607944,1245.22049609685
"Reunion","Africa",-44530.6396546456,294042.635780429,429488.990045626,338573.275435075,474019.629700272,233.166357856818,233.166357856818,1452.06743608778,1452.06743608778
"Romania","Europe",-63071.2777002393,822007.675912035,1206073.60232505,885078.953612274,1269144.88002529,218.324315478458,456.134896374299,4053.96417560098,1940.38860137109
"Russian Federation","Europe",3039820152.50161,3704615300.11045,3937869342.45287,664795147.608838,898049189.951266,437157.612337663,571672.451491697,1520.72188347334,1162.89519614624
"Saint Helena","Caribbean",-883129.930554963,3857862.01064877,6126612.90614325,4740991.94120373,7009742.83669821,293.466531110146,295.779470868863,16155.1367485388,16028.8066216256
"Saint Kitts and Nevis","Caribbean",2580831.16442323,4231478.28520605,6283443.91206759,1650647.12078283,3702612.74764437,125.592188604563,7929.84392983941,13142.9123030893,208.156318760772
"Saint Lucia","Caribbean",-240241.820611763,984144.153979569,1466627.22231972,1224385.97459133,1706869.04293148,644.242679235536,644.242679235536,1900.50428829738,1900.50428829738
"Saint Vincent/Grenadines","Caribbean",7056318.98966133,17375965.51386,25844916.751008,10319646.5241987,18788597.7613467,19411.5470668921,43255.4937622345,531.624114689942,238.574239400049
"Samoa","Oceania",-15846.8528576933,57317.0276901254,87446.4623698153,73163.8805478187,103293.315227509,99.7905989194245,99.7905989194245,733.174079924047,733.174079924047
"Sao Tome and Principe","Africa",-895741.051093577,2774615.60676688,4135447.98178703,3670356.65786046,5031189.03288061,2019.77622064987,2019.77622064987,1817.20956031431,1817.20956031431
"Saudi Arabia","Asia",-11126073.1480458,51506301.7346381,77649416.7290628,62632374.8826839,88775489.8771086,34580.7961089627,34580.7961089627,1811.18950198057,1811.18950198057
